"U:0","U:1","U:2","alpha.water","epsilon","k","nut","p","p_rgh","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.7545,5.4468e-05,-0.00022631,0.91294,2.2173,0.036188,5.322e-05,6.5386,-2664.6,1,0.001605,0.55,0.0025,0.001605
1.7553,5.4308e-05,-0.00023002,0.90813,2.2253,0.036383,5.3592e-05,6.4194,-2650.6,1,0.00162,0.55,0.0025,0.00162
1.7562,5.4148e-05,-0.00023373,0.90332,2.2333,0.036578,5.3965e-05,6.3002,-2636.5,1,0.001635,0.55,0.0025,0.001635
1.757,5.3987e-05,-0.00023744,0.89852,2.2413,0.036772,5.4338e-05,6.181,-2622.5,1,0.00165,0.55,0.0025,0.00165
1.7579,5.3827e-05,-0.00024115,0.89371,2.2494,0.036967,5.471e-05,6.0618,-2608.4,1,0.001665,0.55,0.0025,0.001665
1.7583,5.3603e-05,-0.00024367,0.87457,2.2696,0.037225,5.4989e-05,5.9749,-2552.6,1,0.00168,0.55,0.0025,0.00168
1.7586,5.337e-05,-0.00024603,0.85364,2.2914,0.037491,5.5256e-05,5.892,-2491.4,1,0.001695,0.55,0.0025,0.001695
1.7589,5.3137e-05,-0.00024839,0.83271,2.3132,0.037757,5.5522e-05,5.8091,-2430.3,1,0.00171,0.55,0.0025,0.00171
1.7592,5.2904e-05,-0.00025075,0.81177,2.335,0.038022,5.5789e-05,5.7262,-2369.2,1,0.001725,0.55,0.0025,0.001725
1.7595,5.2671e-05,-0.00025311,0.79084,2.3568,0.038288,5.6056e-05,5.6433,-2308.1,1,0.00174,0.55,0.0025,0.00174
1.7598,5.2439e-05,-0.00025547,0.76991,2.3786,0.038554,5.6323e-05,5.5604,-2247,1,0.001755,0.55,0.0025,0.001755
1.7601,5.2206e-05,-0.00025783,0.74898,2.4004,0.03882,5.659e-05,5.4775,-2185.9,1,0.00177,0.55,0.0025,0.00177
1.7604,5.1973e-05,-0.00026019,0.72805,2.4222,0.039086,5.6856e-05,5.3946,-2124.8,1,0.001785,0.55,0.0025,0.001785
1.7608,5.174e-05,-0.00026255,0.70712,2.444,0.039351,5.7123e-05,5.3117,-2063.6,1,0.0018,0.55,0.0025,0.0018
1.7611,5.1507e-05,-0.00026491,0.68619,2.4658,0.039617,5.739e-05,5.2288,-2002.5,1,0.001815,0.55,0.0025,0.001815
1.7614,5.1274e-05,-0.00026727,0.66526,2.4876,0.039883,5.7657e-05,5.1459,-1941.4,1,0.00183,0.55,0.0025,0.00183
1.7617,5.1042e-05,-0.00026964,0.64432,2.5094,0.040149,5.7924e-05,5.063,-1880.3,1,0.001845,0.55,0.0025,0.001845
1.762,5.0809e-05,-0.000272,0.62339,2.5312,0.040415,5.819e-05,4.9801,-1819.2,1,0.00186,0.55,0.0025,0.00186
1.7623,5.0576e-05,-0.00027436,0.60246,2.553,0.04068,5.8457e-05,4.8972,-1758.1,1,0.001875,0.55,0.0025,0.001875
1.7626,5.0343e-05,-0.00027672,0.58153,2.5748,0.040946,5.8724e-05,4.8143,-1696.9,1,0.00189,0.55,0.0025,0.00189
1.7629,5.011e-05,-0.00027908,0.5606,2.5966,0.041212,5.8991e-05,4.7314,-1635.8,1,0.001905,0.55,0.0025,0.001905
1.7632,4.9877e-05,-0.00028144,0.53967,2.6184,0.041478,5.9258e-05,4.6485,-1574.7,1,0.00192,0.55,0.0025,0.00192
1.7635,4.9645e-05,-0.0002838,0.51874,2.6402,0.041744,5.9525e-05,4.5656,-1513.6,1,0.001935,0.55,0.0025,0.001935
1.7638,4.9412e-05,-0.00028616,0.49781,2.662,0.042009,5.9791e-05,4.4827,-1452.5,1,0.00195,0.55,0.0025,0.00195
1.7642,4.9179e-05,-0.00028852,0.47687,2.6838,0.042275,6.0058e-05,4.3999,-1391.4,1,0.001965,0.55,0.0025,0.001965
1.7645,4.8946e-05,-0.00029088,0.45594,2.7056,0.042541,6.0325e-05,4.317,-1330.2,1,0.00198,0.55,0.0025,0.00198
1.7648,4.8713e-05,-0.00029324,0.43501,2.7274,0.042807,6.0592e-05,4.2341,-1269.1,1,0.001995,0.55,0.0025,0.001995
1.7649,4.6996e-05,-0.00029574,0.41624,2.7566,0.043114,6.0828e-05,4.1874,-1214.3,1,0.00201,0.55,0.0025,0.00201
1.7648,4.4538e-05,-0.0002983,0.39855,2.7895,0.043442,6.1048e-05,4.1588,-1162.7,1,0.002025,0.55,0.0025,0.002025
1.7648,4.2079e-05,-0.00030086,0.38085,2.8225,0.043771,6.1268e-05,4.1301,-1111,1,0.00204,0.55,0.0025,0.00204
1.7648,3.962e-05,-0.00030342,0.36316,2.8554,0.044099,6.1489e-05,4.1015,-1059.4,1,0.002055,0.55,0.0025,0.002055
1.7648,3.7161e-05,-0.00030598,0.34547,2.8884,0.044427,6.1709e-05,4.0729,-1007.7,1,0.00207,0.55,0.0025,0.00207
